1738589924.5288427, [85, 46, 34]
1738589924.5621836, [85, 46, 32]
1738589924.5955234, [91, 49, 38]
1738589924.628864, [87, 48, 34]
1738589924.6622038, [88, 49, 37]
1738589924.6955445, [92, 49, 36]
1738589924.728884, [90, 47, 34]
1738589924.762225, [87, 48, 34]
1738589924.7955644, [95, 51, 39]
1738589924.828905, [90, 49, 35]
1738589924.8622446, [90, 49, 35]
1738589924.895585, [95, 51, 39]
1738589924.9289246, [90, 49, 35]
1738589924.9622653, [91, 50, 36]
1738589924.9956045, [98, 52, 38]
1738589925.028945, [90, 49, 33]
1738589925.0622845, [91, 48, 35]
1738589925.0956247, [98, 56, 38]
1738589925.1289642, [91, 50, 36]
1738589925.1623044, [92, 49, 36]
1738589925.195644, [97, 54, 41]
1738589925.228984, [91, 48, 35]
1738589925.2623234, [94, 51, 35]
1738589925.2956636, [99, 52, 36]
1738589925.3290045, [94, 49, 34]
1738589925.3623464, [95, 51, 39]
1738589925.4290295, [95, 51, 39]
1738589925.4623704, [96, 51, 37]
1738589925.495712, [102, 54, 38]
1738589925.5290532, [99, 53, 39]
1738589925.562395, [99, 53, 39]
1738589925.5957358, [106, 59, 41]
1738589925.629078, [98, 52, 36]
1738589925.6624186, [101, 56, 39]
1738589925.6957605, [106, 59, 43]
1738589925.7291014, [101, 56, 41]
1738589925.762443, [100, 54, 40]
1738589925.795784, [107, 60, 44]
1738589925.8291256, [102, 54, 38]
1738589925.8624666, [102, 57, 40]
1738589925.8958085, [112, 60, 43]
1738589925.929149, [103, 58, 42]
1738589925.9958313, [112, 63, 45]
1738589926.0291731, [108, 61, 45]
1738589926.0625138, [110, 60, 47]
1738589926.0958555, [115, 64, 45]
1738589926.129196, [109, 59, 44]
1738589926.1625378, [112, 64, 49]
1738589926.22922, [110, 61, 43]
1738589926.2625606, [112, 63, 45]
1738589926.2959018, [119, 65, 49]
1738589926.3292434, [115, 65, 48]
1738589926.362586, [116, 64, 48]
1738589926.3959274, [121, 69, 50]
1738589926.42927, [112, 63, 45]
1738589926.4626117, [116, 64, 48]
1738589926.495954, [123, 69, 50]
1738589926.5292957, [115, 65, 48]
1738589926.5626383, [121, 69, 50]
1738589926.5959797, [125, 71, 53]
1738589926.6293223, [118, 66, 49]
1738589926.662664, [125, 71, 53]
1738589926.6960063, [125, 71, 53]
1738589926.7293477, [123, 69, 50]
1738589926.76269, [127, 70, 51]
1738589926.7960317, [131, 75, 55]
1738589926.8293743, [124, 69, 54]
1738589926.8627155, [128, 72, 50]
1738589926.896058, [134, 78, 56]
1738589926.9293995, [129, 72, 55]
1738589926.9627419, [132, 76, 57]
1738589926.9960833, [135, 77, 56]
1738589927.0294259, [127, 74, 53]
1738589927.062767, [134, 78, 56]
1738589927.0961096, [139, 79, 58]
1738589927.129451, [132, 73, 54]
1738589927.1627932, [139, 79, 58]
1738589927.1961348, [146, 81, 59]
1738589927.2294772, [136, 77, 61]
1738589927.2628183, [141, 81, 58]
1738589927.296162, [149, 87, 62]
1738589927.3295014, [140, 82, 60]
1738589927.362842, [149, 84, 63]
1738589927.3961816, [150, 87, 65]
1738589927.4295223, [144, 83, 63]
1738589927.4628618, [154, 87, 66]
1738589927.4962022, [159, 94, 72]
1738589927.5628822, [159, 94, 70]
1738589927.5962217, [163, 94, 69]
1738589927.629562, [157, 93, 67]
1738589927.6629014, [164, 95, 73]
1738589927.6962416, [169, 97, 76]
1738589927.729581, [163, 94, 71]
1738589927.7629213, [172, 104, 77]
1738589927.7962606, [178, 104, 79]
1738589927.8296008, [165, 98, 73]
1738589927.8629398, [175, 102, 77]
1738589927.8962803, [181, 110, 82]
1738589927.9296193, [171, 100, 76]
1738589927.9629595, [180, 107, 79]
1738589928.0296388, [175, 104, 76]
1738589928.0629776, [184, 111, 81]
1738589928.0963175, [187, 109, 81]
1738589928.1296566, [175, 104, 76]
1738589928.1629965, [183, 113, 84]
1738589928.1963356, [189, 111, 85]
1738589928.263014, [187, 112, 83]
1738589928.296353, [190, 114, 88]
1738589928.3296938, [177, 107, 78]
